中文名,英文名,建议摄入量,不适宜人群,简介
焦糖色,Caramel,暂无数据,均适宜,焦糖色亦称焦糖，俗称酱色，英文Caramel，德文称为“卡拉麦几乳考”（karamelxucker)，法文称为“苏克力、卡拉麦列西”（sucrecaramelise)。焦糖是一种在食品中应用范围十分广泛的天然着色剂，是食品添加剂中的重要一员。
焦磷酸钠,sodium diphosphate,暂无数据,均适宜,焦磷酸钠，是一种无机化合物，化学式为Na4P2O7，为白色结晶性粉末，在空气中易吸收水分而潮解，溶于水，不溶于乙醇和其他有机溶剂。与Cu2+、Fe3+、Mn2+等金属离子络合能力强，水溶液在70℃以下尚稳定，煮沸则水解成磷酸氢二钠 。
甲基纤维素,Methyl Cellulose,暂无数据,均适宜,甲基纤维素是一种非离子纤维素醚，它是通过醚化在纤维素中引入甲基而制成的。
黄原胶|汉生胶,翻译暂缺,暂无数据,均适宜,暂无介绍
环己基氨基磺酸钠,Sodium cyclamate,暂无数据,均适宜,甜蜜素，化学名称为环己烷氨基磺酸钠，是一种有机化合物，化学式为C6H12NNaO3S，是一种常用的甜味剂，甜度是蔗糖的30～40倍 。
滑石粉,Talcum powder,暂无数据,均适宜,滑石粉是一种工业产品，为硅酸镁盐类矿物滑石族滑石，主要成分为含水硅酸镁，经粉碎后，用盐酸处理，水洗，干燥而成。
红曲黄色素,monascus yellow,暂无数据,均适宜,红曲黄色素（monascus yellow）是以紫色红曲霉（Monascus purpureus）和赤红曲霉（M.anka）为原料，利用现代的生物技术提取而成的天然着色剂，主要成分为红曲黄素（ankaflavin）和红曲素（monascin）等。红曲黄色素主要用于糖果，果冻，冷饮等的着色，为黄色着色剂。
红花黄,SaffowerYellower;Saffron,暂无数据,均适宜,红花黄(sailor yellow)，分子式C21 H22 Oll，相对分子质量450.39。主要呈色物质为红花黄及其氧化物，也可含有原料中存在的糖类、盐类和蛋白质。作为商品，可加有糊精之类载体以利于干燥和制成粉末。安全性ADI尚未规定(FAO/WHO，1994)，LD50≥20.0g/kg(小鼠，经口) 。
黑豆红,翻译暂缺,暂无数据,均适宜,黑豆红，一种食品添加剂。以黑豆的种皮为原料提取。黑豆红色素包括矢车菊素-3-葡萄糖苷、飞燕草素-3-葡萄糖苷和矢车菊素-3-半乳糖苷三种花色苷，主要着色成分为矢车菊素-3-半乳糖苷。
海藻酸钠,sodium alginate,暂无数据,均适宜,海藻酸钠是从褐藻类的海带或马尾藻中提取碘和甘露醇之后的副产物，其分子由β-D-甘露糖醛酸（β-D-mannuronic，M）和α-L-古洛糖醛酸（α-L-guluronic，G）按（1→4）键连接而成，是一种天然多糖，具有药物制剂辅料所需的稳定性、溶解性、粘性和安全性。海藻酸钠已经在食品工业和医药领域得到了广泛应用。
海藻酸钾,Potassium alginate,暂无数据,均适宜,海藻酸钾是一种化学物质，主要用于面膜、牙模等印模材料，也用于电焊条的药皮，用于食品、化妆品等。
果胶,pectin,暂无数据,均适宜,果胶是一种多糖，其组成有同质多糖和杂多糖两种类型。它们多存在于植物细胞壁和细胞内层，大量存在于柑橘、柠檬、柚子等果皮中。呈白色至黄色粉状，相对分子质量约20000～400000，无味。在酸性溶液中较在碱性溶液中稳定，通常按其酯化度分为高酯果胶及低酯果胶。高酯果胶在可溶性糖含量≥60%、pH=2.6～3.4的范围内形成非可逆性凝胶。低酯果胶一部分甲酯转变为伯酰胺，不受糖、酸的影响，但需与钙、镁等二价离子结合才能形成凝胶。
瓜尔胶,guar gum,暂无数据,均适宜,瓜尔胶，又名瓜尔豆胶，是豆科植物瓜尔豆的提取物，是一种半乳甘露聚糖，一般用作食品增稠剂。
甘油,Glycerol,暂无数据,均适宜,丙三醇，又名甘油，是一种有机化合物，化学式为C3H8O3，是一种简单的多元醇化合物。它是一种无色无臭有甜味的黏性液体，无毒。甘油主链存在于被称为甘油酯的脂质中。由于它具有抗菌和抗病毒特性，因此广泛用于FDA批准的伤口和烧伤治疗。相反，它也用作细菌培养基 。它可作为衡量肝脏疾病的有效标志物。它还广泛用作食品工业中的甜味剂和药物配方中的保湿剂。由于其有三个羟基，甘油可与水混溶并具有吸湿性 。
富马酸,Fumaric acid,暂无数据,均适宜,反丁烯二酸，又名延胡索酸、富马酸、紫堇酸，化学式为C4H4O4，是由丁烯衍生出的羧酸，是一种无色、易燃的晶体。
蜂蜡,Beeswax,暂无数据,均适宜,《蜂蜡》是由安德鲁·布西内斯克自编自导的美国喜剧片，Tilly Hatcher、Maggie Hatcher、Alex Karpovsky主演。
二氧化钛,Titanium Dioxide,暂无数据,均适宜,二氧化钛，是一种无机化合物，化学式为TiO2，为白色固体或粉末状的两性氧化物，分子量79.866，具有无毒、最佳的不透明性、最佳白度和光亮度，被认为是现今世界上性能最好的一种白色颜料。钛白的粘附力强，不易起化学变化，永远是雪白的。广泛应用于涂料、塑料、造纸、印刷油墨、化纤、橡胶、化妆品等工业。它的熔点很高，也被用来制造耐火玻璃，釉料，珐琅、陶土、耐高温的实验器皿等。二氧化钛可由金红石用酸分解提取或由四氯化钛分解得到。二氧化钛在自然界中存在三种同素异形态：金红石型、锐钛型和板钛型，此外还有数种人工合成的晶型。
二氧化硅,Silicon dioxide,暂无数据,均适宜,二氧化硅，是一种无机化合物，化学式为SiO2，硅原子和氧原子长程有序排列形成晶态二氧化硅，短程有序或长程无序排列形成非晶态二氧化硅。
二丁基羟基甲苯|BHT,翻译暂缺,暂无数据,均适宜,暂无介绍
对羟基苯甲酸酯类及其钠盐|对羟基苯甲酸甲酯钠|对羟基苯甲酸乙酯及其钠盐,翻译暂缺,暂无数据,均适宜,暂无介绍
丁基羟基茴香醚|BHA,翻译暂缺,暂无数据,均适宜,暂无介绍
靛蓝及其铝色淀,翻译暂缺,暂无数据,均适宜,暂无介绍
"单,双甘油脂肪酸酯",mono-and diglycerides of fatty acids,暂无数据,均适宜,单，双甘油脂肪酸酯（油酸、亚油酸、亚麻酸、棕榈酸、山嵛酸、硬脂酸、月桂酸）。
DL-苹果酸|DL-苹果酸钠,翻译暂缺,暂无数据,均适宜,暂无介绍
dl-酒石酸,Tartaricacid,暂无数据,均适宜,酒石酸（Tartaric Acid）最早从酿造葡萄酒的副产物酒石中提取。由于分子结构中存在两个不对称的碳原子，所以存在左旋体（L-酒石酸）和右旋体（D-酒石酸）、内消旋体（MESO-酒石酸）及外消旋体（DL-酒石酸）。
D-甘露糖醇,D-Mannitol,暂无数据,均适宜,D-甘露糖醇（D-Mannitol），是一种化学物质，分子式是C6H14O6。
醋酸酯淀粉,Starch acetate,暂无数据,均适宜,醋酸酯淀粉是一种黏度高，澄明度高，凝沉性弱，储存稳定的淀粉，在食品加工中用作增稠剂、稳定剂、黏结剂、制食用淀粉膜，按生产需要在肉糜制品、酱油、汤罐头、巧克力等方面适量使用。
赤藓糖醇,Erythritol,暂无数据,均适宜,赤藓糖醇，是一种填充型甜味剂，是四碳糖醇，分子式为C4H10O4。赤藓糖醇在自然界中广泛存在，如真菌类蘑菇、地衣，瓜果类甜瓜、葡萄、梨，动物的眼球晶体、血浆、胎液、精液、尿液中也能少量检测到，在发酵食品葡萄酒、啤酒、酱油、日本清酒中也有少量存在。 可由葡萄糖发酵制得，为白色结晶粉末，具有爽口的甜味，不易吸收，高温时稳定，在广泛pH范围内稳定，在口中溶解时有温和的凉爽感，适用于多种食品。
赤藓红及其铝色淀,翻译暂缺,暂无数据,均适宜,暂无介绍
冰乙酸,Acetic Acid,暂无数据,均适宜,乙酸，也叫醋酸，是一种有机化合物，化学式CH3COOH，是一种有机一元酸，为食醋主要成分。纯的无水乙酸（冰醋酸）是无色的吸湿性液体，凝固点为16.6℃（62℉），凝固后为无色晶体，其水溶液中弱酸性且腐蚀性强，对金属有强烈腐蚀性，蒸汽对眼和鼻有刺激性作用。
苯甲酸及其钠盐,翻译暂缺,暂无数据,均适宜,暂无介绍
巴西棕榈蜡,Carnauba wax,暂无数据,均适宜,巴西棕榈蜡，由巴西棕榈树叶中取得，主要由蜡酯、高碳醇、烃类和树脂状物质组成。为淡棕色至灰黄色的粉末、薄片或形状不规则且质地硬脆的蜡块。具有温和特臭，但几乎无味。皂化值为78~95，碘值为5 ~ 14，巴西棕榈蜡不发生酸败。溶于温热的三氯甲烷和温热的甲苯，微溶于沸腾的乙醇（95% ），几乎不溶于水。
β-环状糊精,翻译暂缺,暂无数据,均适宜,环状糊精（β-cyclodextrin简称β-CD）是淀粉经酸解环化生成的产物。它可以包络各种化合物分子，增加被包络物对光热、氧的稳定性，改变被包络物质的理化性质。
β-阿朴-8'-胡萝卜素醛,翻译暂缺,暂无数据,均适宜,暂无介绍
阿拉伯胶,Acacia senegal,暂无数据,均适宜,阿拉伯胶，又称阿拉伯树胶，来源于豆科的金合欢树属的树干渗出物，因此也称金合欢胶。阿拉伯胶主要成分为高分子多糖类及其钙、镁和钾盐。主要包括有树胶醛糖、半乳糖、葡萄糖醛酸等。品质良好的阿拉伯胶颜色呈琥珀色，且颗粒大而圆，主要产于非洲。
低聚异麦芽糖,IMO,暂无数据,均适宜,自然界中低聚异麦芽糖极少以游离状态存在，但作为支链淀粉或多糖的组成部分，在某些发酵食品如酱油、黄酒或酶法葡萄糖浆中有少量存在。 工业上以淀粉为原料生产低聚异麦芽糖需要一种酶，此酶为α-葡萄糖苷酶，又名葡萄糖基转移酶，简称α-糖苷酶。它能切开麦芽糖和麦芽低聚糖分子结构中α-1，6糖苷键，并能将游离出来的一个葡萄糖残基转移到另一个葡萄糖分子或麦芽糖或麦芽三糖等分子中的α-1，6位上，形成异麦芽糖、异麦芽三糖、异麦芽四糖、异麦芽五糖和潘糖等。
低聚果糖,Fructo oligosaccharide，FOS,暂无数据,均适宜,低聚果糖又称果寡糖或蔗糖三糖族低聚糖。低聚果糖通常食用的很多水果、蔬菜中均存在。 蔗糖分子以β-（1→2）糖苷键与1-3个果糖分子结合成的蔗果三糖，蔗果四糖和蔗果五糖，属于果糖和葡萄糖构成的直链杂低聚糖。 分子式为G-F- Fn（n=1，2，3，G为葡萄糖，F为果糖）。
冠突散囊菌,翻译暂缺,暂无数据,均适宜,金花，是“冠突散囊菌”，是对人有益的酵素类菌。“金花”能分泌淀粉酶和氧化酶，可催化茶叶中的蛋白质、淀粉转化为单糖，催化多酚类化合物氧化，转化成对人体有益的物质，使茶叶的口感等特性提高和优化。
油葡萄（山桐子）油（后更名为“山桐子油（油葡萄油）”）,翻译暂缺,暂无数据,均适宜,暂无介绍
甜茶,翻译暂缺,暂无数据,均适宜,甜茶（Rubus chingii var. suavissimus (S. Lee) L. T. Lu），蔷薇科悬钩子属落叶灌木 。树高1-3米；小枝光滑无毛，常带白粉；叶片呈掌状；花开放时呈白色，有5片花瓣 ； 聚合果，呈卵球形，幼时灰青色，熟时橙红色，味甜可食 。种子褐色，呈椭圆形，有纵脉纹；花期7-8月；果期11-12月 。
明日叶提取物（后更名为明日叶汁粉）,翻译暂缺,暂无数据,均适宜,暂无介绍
养殖红鳍东方鲀,翻译暂缺,暂无数据,均适宜,养殖红鳍东方鲀得到养殖工艺 是在控毒条件下，经日常管理及剪牙等室内外养殖，养殖成为鲜活红鳍东方鲀。
养殖暗纹东方鲀,翻译暂缺,暂无数据,均适宜,养殖暗纹东方鲀，主要成分是蛋白质、氨基酸，来源为海水养殖。
文冠果油,翻译暂缺,暂无数据,均适宜,暂无介绍
马乳酒样乳杆菌马乳酒样亚种,翻译暂缺,暂无数据,均适宜,暂无介绍
透明质酸钠,Sodium Hyaluronate,≤200 毫克/天（推荐食用量）,婴幼儿、孕妇及哺乳期妇女不宜食用,透明质酸钠，化学式为(C14H20NO11Na)n，是人体内一种固有的成分，是一种葡聚糖醛酸，没有种属特异性，它广泛存在于胎盘、羊水、晶状体、关节软骨、皮肤真皮层等组织、器官中。它分布在细胞质、细胞间质中，对其中所含的细胞和细胞器官本身起润滑与滋养作用。
蝉花子实体(人工培植),翻译暂缺,≤3 克/天（以干品计）,婴幼儿、孕妇、哺乳期妇女及食用菌过敏者不宜食用,暂无介绍
β-胡萝卜素,,成人，每日用量最低值1.5mg，最高值5mg,均适宜,β-胡萝卜素（C40H56）是类胡萝卜素之一，是一种橘黄色的脂溶性化合物，它是自然界中最普遍存在也是最稳定的天然色素。 属于天然化学物（例如胡萝卜素或类胡萝卜素）家庭的一员。它在植物中大量地存在，令水果和蔬菜拥有了饱满的黄色和橘色。 纯品外观为红紫色至暗红色结晶性粉末，略有特异臭味。 β-胡萝卜素稀溶液呈橙黄色，易溶于二氯甲烷、氯仿、二硫化碳等有机溶剂。 溶液浓度增大时带橙色，因溶剂的极性可稍带红色。遇氧、热及光不稳定。在弱碱中较稳定。
β-胡萝卜素,,成人，每日用量最低值1.5mg，最高值7mg,均适宜,β-胡萝卜素（C40H56）是类胡萝卜素之一，是一种橘黄色的脂溶性化合物，它是自然界中最普遍存在也是最稳定的天然色素。 属于天然化学物（例如胡萝卜素或类胡萝卜素）家庭的一员。它在植物中大量地存在，令水果和蔬菜拥有了饱满的黄色和橘色。 纯品外观为红紫色至暗红色结晶性粉末，略有特异臭味。 β-胡萝卜素稀溶液呈橙黄色，易溶于二氯甲烷、氯仿、二硫化碳等有机溶剂。 溶液浓度增大时带橙色，因溶剂的极性可稍带红色。遇氧、热及光不稳定。在弱碱中较稳定。
D-泛酸钠,翻译暂缺,1-3岁人群，每日用量最低值0.4mg（以泛酸计），最高值2.0mg（以泛酸计）；,均适宜,暂无介绍
氯化胆碱,Choline chloride,1-3岁人群，每日用量最低值40mg（以胆碱计），最高值240mg（以胆碱计）；,均适宜,氯化胆碱是一种有机物，化学式为C5H14ClNO，白色吸湿性结晶，无味，有鱼腥臭。熔点305℃。10%水溶液pH5-6，在碱液中不稳定。本品易溶于水和乙醇，不溶于乙醚、石油醚、苯和二硫化碳。低毒，LD50(大鼠，经口)3400 mg/kg。用于治疗脂肪肝和肝硬化。也作为禽畜饲料添加剂，能刺激卵巢多产蛋、产仔及禽畜、鱼类等增重。
硒蛋白,selenoprotein,4-6岁人群，每日用量最低值5μg（以Se计），最高值30μg（以Se计）；,均适宜,硒蛋白（selenoprotein），是含硒的蛋白的简写。通常的理解误区是－认为只有含有硒半胱氨酸残基的蛋白质才是硒蛋白，或硒蛋白只含有硒半胱氨酸残基。事实上，只有硒酶（selenoenzyme）几乎都是以硒半胱氨酸残基作为催化中心的硒蛋白，而不是所有的硒蛋白都具有催化功能。
硒化卡拉胶,翻译暂缺,4-6岁人群，每日用量最低值5μg（以Se计），最高值30μg（以Se计）；,均适宜,暂无介绍
氯化锌,Zinc chloride,1-3岁人群，每日用量最低值0.8mg（以Zn计），最高值3.0mg（以Zn计）；,均适宜,氯化锌，是一种无机化合物，化学式为ZnCl2，为白色结晶性粉末， 易溶于水，溶于甲醇、乙醇、甘油、丙酮、乙醚，不溶于液氨，主要用作脱水剂、催化剂、防腐剂，还用于电镀、医药、农药等工业。
乙酸锌,zinc acetate,1-3岁人群，每日用量最低值0.8mg（以Zn计），最高值3.0mg（以Zn计）；,均适宜,乙酸锌是一种有机盐类，化学式为(CH3COO)2Zn，为有光泽的六面体鳞片或片晶体，有乙酸气味，由氧化锌与乙酸作用而得。一般用于制锌盐、也用作媒染剂、木材防腐剂、试剂等。
柠檬酸亚铁钠,"1,2,3-Propanetricarboxylicacid,",1-3岁人群，每日用量最低值1.5mg（以Fe计），最高值7.0mg（以Fe计）；,均适宜,柠檬酸亚铁钠是一种化学物质，分子式是C6H8O7。
柠檬酸铁,Ferric citrate,1-3岁人群，每日用量最低值1.5mg（以Fe计），最高值7.0mg（以Fe计）；,均适宜,柠檬酸铁(Ferric citrate)，也叫做柠檬酸三铁，无机化合物。是一种可食用的柠檬酸盐。常用作酸味剂。也可用作医药方面。
焦磷酸铁,Iron(III) pyrophosphate,1-3岁人群，每日用量最低值1.5mg（以Fe计），最高值7.0mg（以Fe计）；,均适宜,焦磷酸铁，是一种无机化合物，化学式为Fe4(P2O7)3，为黄白色粉末，微溶于水及醋酸，溶于无机酸、碱溶液、柠檬酸，不溶于冷水，主要用作食品添加剂、强化剂、合成纤维防火剂、防腐颜料和催化剂等。
葡萄糖酸钾,翻译暂缺,4-6岁人群，每日用量最低值250mg（以K计），最高值1200mg（以K计）；,均适宜,葡萄糖酸钾是一种化学物质，分子式是C6H11O7.K; C6H11KO7。
葡萄糖酸镁,翻译暂缺,4-6岁人群，每日用量最低值30mg（以Mg计），最高值200mg（以Mg计）；,均适宜,葡萄糖酸镁（化学式：MgC12H22O14）是葡萄糖酸的镁盐。呈白色或灰白色无臭细粉。溶于水。由氧化镁或碳酸镁溶解于葡萄糖酸中而得。用作营养增补剂、缓冲剂、固化剂等。
柠檬酸苹果酸钙,Calcium Citrate Malate,4-6岁人群，每日用量最低值150mg（以Ca计），最高值700mg（以Ca计）；,均适宜,"柠檬酸苹果酸钙（Calcium Citrate Malate,简称CCM）是由碳酸钙，柠檬酸和苹果酸按照一定比例反应生成的有机酸复合物，具有高溶解性、高生物学吸收利用性、减少铁吸收阻碍、风味良好且安全无毒的优点。"
破壁灵芝孢子粉,翻译暂缺,1-4g,少年儿童、孕妇及乳母,灵芝孢子是灵芝在发育后期产生释放来的种子，是灵芝的精华，主要营养成分有灵芝多糖、灵芝三萜。
褪黑素,Melatonin,1-3mg,少年儿童、孕妇、乳母,褪黑素（Melatonin，MT）是由脑松果体分泌的激素之一。褪黑素属于吲哚杂环类化合物，其化学名是N-乙酰基-5甲氧基色胺，又称为松果体素、褪黑激素、褪黑色素。褪黑素合成后，储存在松果体内，交感神经兴奋支配松果体细胞释放褪黑素。褪黑素的分泌具有明显的昼夜节律，白天分泌受抑制，晚上分泌活跃。褪黑素可抑制下丘脑-垂体-性腺轴，使促性腺激素释放激素、促性腺激素、黄体生成素以及卵泡刺激素的含量均减低， 并可直接作用于性腺，降低雄激素、雌激素及孕激素的含量。另外，MT有强大的神经内分泌免疫调节活性和清除自由基抗氧化能力，可能会成为新的抗病毒治疗的方法和途径。MT最终在肝脏中代谢，肝细胞的损伤可影响体内MT的水平 [1-2]  。
鱼油,翻译暂缺,不高于4.0g（其中，EPA+DHA的用量不低于1.0g）,少年儿童、孕妇、乳母；出血倾向者和出血性疾病患者；肝功能不全者,鱼油是一种从多脂鱼类中提取的油脂，富含二十碳五烯酸（EPA）和二十二碳六烯酸（DHA，俗称脑黄金）多种n-3系多不饱和脂肪酸（n-3PUFA）。
螺旋藻,翻译暂缺,3-4g,婴幼儿、孕妇及乳母、过敏体质人群,螺旋藻，颤藻科螺旋藻属一类经济微藻， 原核生物。藻丝体为单列细胞构成无分支、无异性胞的丝状体，通常呈蓝绿色，藻丝体具规则的螺旋状卷曲结构，整体可呈圆柱形、纺锤形或哑铃型；藻丝两端略细，末端细胞钝圆或具帽状结构；通常无鞘，偶具薄而透明的鞘；细胞呈圆柱状；细胞间有明显横隔，横隔处无或不具明显缩缢。 螺旋藻在显微镜下观察体形呈螺旋状，故名螺旋藻。
辅酶Q10,COENZYME Q10,30-50mg,少年儿童、孕妇、乳母、过敏体质人群,"辅酶Q10，化学名称为2-[(全-E) 3,7,11,15,19,23,27,31,35,39-十甲基-2,6,10，14,18,22,26,30,34,38-四十癸烯基}- 5,6-二甲氧基-3-甲基-p-苯醌， 是真核细胞线粒体中电子传递链和有氧呼吸的参与物质之一，为黄色至橙黄色结晶性粉末，无臭无味，遇光易分解。"
竹叶黄酮,antioxidant of bamboo leaves; AOB,≤2克/天,均适宜,竹叶黄酮是一种天然有机混合物。主要由荭草苷（Orientin）、异荭草苷（Homoorientin）、牡荆苷（Vitexin）和异牡荆苷（Isovitexin）组成 。具有较大的极性和亲水性，易溶于热水、甲醇、乙醇、丙酮等溶剂。其分子中都具有酚羟基和糖苷链，生成氢键的能力较强，有利于弱极性和极性树脂吸附，可以使用大孔树脂等有机高分子聚合物吸附剂来进行纯化 。
番茄籽油,tomato seed oil,暂无数据,均适宜,番茄籽油 (tomato seed oil)是从番茄籽中经过亚临界低温萃取制得的天然优质食用油。番茄籽油属高亚油酸食用油，并富含番茄红素和维生素E和维生素A的前体胡萝卜素番茄籽油营养丰富，番茄籽筛选及分离工艺复杂，因此，价格比一般食用油要高。
赶黄草 （原名：泸州古蔺赶黄草）,翻译暂缺,≤8克/天,婴幼儿、少年儿童、孕妇及哺乳期妇女不宜食用,暂无介绍
两歧双歧杆菌 R0071,翻译暂缺,暂无数据,均适宜,暂无介绍
婴儿双歧杆菌 R0033,翻译暂缺,暂无数据,均适宜,暂无介绍
瑞士乳杆菌 R0052,翻译暂缺,暂无数据,均适宜,暂无介绍
荜茇,翻译暂缺,暂无数据,均适宜,荜拔（Piper longum L.）是胡椒科胡椒属多年生草质攀援藤本植物。植株长达数米，大多数部位常被粉状细柔毛；枝呈“之”字形，具粗棱及沟槽；叶纸质，下部叶卵圆形或稍肾形，顶端叶卵形或卵状长圆形，下部叶柄较长；花单性，雌雄异株；果实为核果，球形。花期7~10月。
姜黄,翻译暂缺,暂无数据,均适宜,姜黄（Curcuma longa L.）是姜科姜黄属植物，根茎发达、成丛，分枝多，呈椭圆形或圆柱形；叶为长圆形或椭圆形；花葶由顶部叶鞘内抽出；穗状花序呈圆柱形；苞片是卵形或长圆形，颜色为淡绿色；花冠呈淡黄色，姜黄花期为8月。 “姜黄”药用之名，始载于《新修本草》，指该属多种植物，至清确定为本种，此后演化为“姜黄”主流品种。
草果,翻译暂缺,暂无数据,均适宜,草果（Amomum tsaoko Crevost & Lem.）是姜科豆蔻属多年生草本植物。茎丛生，全株有辛香气，地下部分略似生姜叶片长椭圆形或长圆形，两面光滑无毛；苞片披针形，顶端渐尖；花冠红色；唇瓣椭圆形；蒴果密生，长圆形或长椭圆形，无毛；种子多角形，有浓郁香味。花期4~6月，果期9~12月。
西红花,翻译暂缺,暂无数据,均适宜,西红花，中药名。为鸢尾科植物番红花Crocus sativus L的干燥柱头。引入栽培种。现北京、山东、浙江、四川等地有栽培。具有活血化瘀，凉血解毒，解郁安神的功效。用于经闭症瘕，产后瘀阻，温毒发斑，忧郁痞闷，惊悸发狂。
山柰,翻译暂缺,暂无数据,均适宜,山柰（Kaempferia galanga L. ）是姜科，山柰属多年生低矮草本植物，根茎块状，单生或数枚连接，芳香。叶通常贴近地面生长，近圆形，无毛或于叶背被稀疏的长柔毛，无柄；花顶生，半藏于叶鞘中；苞片披针形，花白色，有香味，易凋谢；花萼约与苞片等长；唇瓣白色，雄蕊无花丝，药隔附属体正方形，果为蒴果。8-9月开花。
当归,翻译暂缺,暂无数据,均适宜,当归（Angelica sinensis (Oliv.) Diels）是伞形科当归属多年生草本植物。根圆柱状，分枝，黄棕色；茎直立，绿白色或带紫色，有纵深沟纹；叶羽状分裂，紫色或绿色，卵形；花白色，花柄密被细柔毛，花瓣长卵形，花柱基圆锥形，花期6-7月。果实椭圆至卵形，翅边缘淡紫色，果期7-9月。 《本草纲目》中记载：“古人娶妻，为嗣续也。当归调血，为女人要药，有思夫之意，故有当归之名。”
灵芝（紫芝）（试点）,翻译暂缺,暂无数据,均适宜,暂无介绍
膜荚黄芪（试点）,翻译暂缺,暂无数据,均适宜,暂无介绍
川党参（试点）,翻译暂缺,暂无数据,均适宜,暂无介绍
素花党参（试点）,翻译暂缺,暂无数据,均适宜,暂无介绍
杜仲叶（试点）,翻译暂缺,暂无数据,均适宜,暂无介绍
天麻（试点）,翻译暂缺,暂无数据,均适宜,暂无介绍
山茱萸（试点）,翻译暂缺,暂无数据,均适宜,暂无介绍
灵芝（赤芝）（试点）,翻译暂缺,暂无数据,均适宜,暂无介绍
蒙古黄芪（试点）,翻译暂缺,暂无数据,均适宜,暂无介绍
西洋参（试点）,翻译暂缺,暂无数据,均适宜,暂无介绍
铁皮石斛（试点）,翻译暂缺,暂无数据,均适宜,暂无介绍
荒漠肉苁蓉（试点）,翻译暂缺,暂无数据,均适宜,暂无介绍
党参（试点）,翻译暂缺,暂无数据,均适宜,暂无介绍
枇杷花,翻译暂缺,推荐食用量：干品≤8克/天,婴幼儿、孕妇及哺乳期妇女不宜食用,枇杷花，中药名。为蔷薇科植物枇杷Eriobotrya japonica(Thunb.) Lindl.的花。分布于甘肃、陕西、河南、江苏、安徽、浙江、江西、湖北、湖南、四川、云南、贵州、广西、广东、福建、台湾等地。具有疏风止咳、通鼻窍之功效。常用于头风，鼻塞流涕，虚劳久嗽，痰中带血。
明日叶,翻译暂缺,推荐食用量:鲜品≤50克/天（干品推荐食用量以鲜品折算）,婴幼儿、孕妇及哺乳期妇女不宜食用,明日叶（Angelica keiskei Koidz.），伞形科当归属多年生大草本。茎叶内含黄色液汁，茎直立，多分枝；基生叶丛生，具长柄，基部扩大抱茎，浅裂或深裂，小羽叶卵形或广卵形，先端尖，细锯齿缘，两面光滑无毛;茎上叶渐小；复伞形花序，被短毛；无总苞，小苞片数枚，广线形；小花多数，乳黄色。果实长椭圆形，稍扁平；花期5~10月，果期9~12月 。明日叶，因今天摘了叶子，明天就能冒出新叶的强盛生命力而得名，故曰明日叶。
弯曲乳杆菌,翻译暂缺,暂无数据,婴幼儿不宜食用,暂无介绍
金线莲（后更名为金线兰）,翻译暂缺,暂无数据,均适宜,暂无介绍
桃花,Peach blossom,暂无数据,均适宜,桃花，蔷薇科李属桃（Prunus persica）的多年生乔木植物桃树的花，树干灰褐色，叶椭圆状披针形，单叶互生，边缘具有细锯齿，花单生，先叶开放，核果近球形，花期3—4月，果期6-9月。 桃花的名字来源于《诗经》中的“桃之夭夭，灼灼其华”。
石榴子,SEMEN PUNICAE GRANATI,暂无数据,均适宜,石榴子为安石榴科植物安石榴Punica granatum L.的干燥种子。秋季果实成熟后除去果皮，晒干。
龟甲胶,翻译暂缺,暂无数据,均适宜,龟胶又称龟甲胶具有滋阴、补血，止血的功效，用于主治阴虚血亏、劳热骨蒸、吐血、衄血、烦热惊悸、肾虚腰痛、脚膝痿弱、崩漏、带下等症状。
鹿角胶,翻译暂缺,暂无数据,均适宜,鹿角胶，温补肝肾，益精养血。用于血虚头晕，腰膝酸冷，虚劳消瘦。
聚葡萄糖,Polydextrose,暂无数据,均适宜,聚葡萄糖（polydextrose)是一种水溶性的膳食纤维，化学式为(C6H10O5)n。 为白色或类白色固体颗粒，易溶于水，溶解度70%，10%水溶液的PH值为2.5－7.0，无特殊味，是一种具有保健功能性的食品组分，可以补充人体所需的水溶性膳食纤维。进入人体消化系统后，产生特殊的生理代谢功能，从而防治便秘，脂肪沉积。
球状念珠藻（葛仙米）,翻译暂缺,≤ 3克/天(以干品计),婴幼儿、孕妇及哺乳期妇女不宜食用,暂无介绍
黑果腺肋花楸果,翻译暂缺,≤10g/天（以鲜品计）,婴幼儿、孕妇及哺乳期妇女不宜食用,黑果腺肋花楸果又名野樱莓、不老莓，腺肋花楸果实，英文名Aronia和black chokeberry，原产于北美东北部，后传入欧洲。它可以分成两个品种：黑果腺肋花楸（黑色不老莓）和红果腺肋花楸（红色不老莓）。腺肋花楸中用于水果生产的品种主要来自黑果腺肋花楸。
铁皮石斛叶,翻译暂缺,暂无数据,均适宜,暂无介绍
铁皮石斛花,翻译暂缺,暂无数据,均适宜,石斛花，兰科石斛属多年生草本植物。花茎较粗，呈圆柱型；叶子较薄，呈长圆形，叶梢下有绒毛；花朵较大，呈多边形，红色，略具有青草香气；根较细，嫩白色，表面光滑。 《本草纲目》记载“金钗股石斛花”，此草与石斛形状相似，故名石斛花。
然波（珠芽蓼果实粉）,翻译暂缺,暂无数据,均适宜,暂无介绍
人参不定根,翻译暂缺,暂无数据,均适宜,暂无介绍
白木香叶,翻译暂缺,暂无数据,均适宜,暂无介绍
牛大力粉,翻译暂缺,暂无数据,均适宜,暂无介绍
